order_id,variant,completion,score,n_replans,inspect_sum,wall_time,protocol_max_score,status,submitted,n_motion_retries,n_vlm_detection_calls,n_detected_misalignments,n_advisory_replan_rejections,n_feedback_call_errors,token_budget,replan_max_tokens,doremi_detect_max_tokens,token_budget_used,observation_scope,fixed_visual_references,information_envelope,extra_sensor_channels,uses_hidden_simulator_state_as_feedback,uses_typed_verifier_witness_as_feedback,nominal_proposal_source,nominal_proposal_sha256,verifier_config,llm_provider,llm_model,epsilon,seed,run_id,run_dir,summary_path
dropped_part1,doremi,0.5,7,0,2,401,13,submitted,1,0,20,0,0,0,16384,4096,256,5120,left_and_right_bin_rgb_only,pevp_part_types_and_slot_map,pevp_same_observation_feedback_subset,none,0,0,replayed,8c372b3b19667b1a687e2d9ee57fbb2f12c3686d6d902a1fbff63c91933d4b7f,V_doremi,openai_compatible,gpt-5.2-2025-12-11,0,0,gpt-5p2-2025-12-11_dropped_part1_eps_0p0_seed_0,internal://competition_tutorials/experiment_results/faithful_baseline_runs/doremi_detector_v1_challenge30_20260802/attempts/dropped_part1/20260802_230724_340215/gpt-5p2-2025-12-11_dropped_part1_eps_0p0_seed_0,internal://competition_tutorials/experiment_results/faithful_baseline_runs/doremi_detector_v1_challenge30_20260802/selected_summaries/dropped_part1/summary.csv
dropped_part10,doremi,0,0,1,3,915,22,timeout,0,0,20,1,0,0,16384,4096,256,9216,left_and_right_bin_rgb_only,pevp_part_types_and_slot_map,pevp_same_observation_feedback_subset,none,0,0,replayed,ce60d14ae908db729ae49ee0599123643ca085f589fa7b25fb9ad318da2d70ad,V_doremi,openai_compatible,gpt-5.2-2025-12-11,0,0,gpt-5p2-2025-12-11_dropped_part10_eps_0p0_seed_0,internal://competition_tutorials/experiment_results/faithful_baseline_runs/doremi_detector_v1_challenge30_20260802/attempts/dropped_part10/20260803_001538_340215/gpt-5p2-2025-12-11_dropped_part10_eps_0p0_seed_0,internal://competition_tutorials/experiment_results/faithful_baseline_runs/doremi_detector_v1_challenge30_20260802/selected_summaries/dropped_part10/summary.csv
dropped_part2,doremi,0.5,1,0,1,316,9,submitted,1,0,11,0,0,0,16384,4096,256,2816,left_and_right_bin_rgb_only,pevp_part_types_and_slot_map,pevp_same_observation_feedback_subset,none,0,0,replayed,5db0b72b6d364d36eb5fd6ccfeed309b69721a830055e16813704ddcb3d4e704,V_doremi,openai_compatible,gpt-5.2-2025-12-11,0,0,gpt-5p2-2025-12-11_dropped_part2_eps_0p0_seed_0,internal://competition_tutorials/experiment_results/faithful_baseline_runs/doremi_detector_v1_challenge30_20260802/attempts/dropped_part2/20260802_231431_340215/gpt-5p2-2025-12-11_dropped_part2_eps_0p0_seed_0,internal://competition_tutorials/experiment_results/faithful_baseline_runs/doremi_detector_v1_challenge30_20260802/selected_summaries/dropped_part2/summary.csv
dropped_part3,doremi,0.5,1,0,1,272,17,submitted,1,0,11,0,0,0,16384,4096,256,2816,left_and_right_bin_rgb_only,pevp_part_types_and_slot_map,pevp_same_observation_feedback_subset,none,0,0,replayed,de52b73edd986b43b21b054a376f4c6790a7b5480aeff4bdfe0c76990495f005,V_doremi,openai_compatible,gpt-5.2-2025-12-11,0,0,gpt-5p2-2025-12-11_dropped_part3_eps_0p0_seed_0,internal://competition_tutorials/experiment_results/faithful_baseline_runs/doremi_detector_v1_challenge30_20260802/attempts/dropped_part3/20260802_232012_340215/gpt-5p2-2025-12-11_dropped_part3_eps_0p0_seed_0,internal://competition_tutorials/experiment_results/faithful_baseline_runs/doremi_detector_v1_challenge30_20260802/selected_summaries/dropped_part3/summary.csv
dropped_part4,doremi,0.5,10,0,2,536,17,submitted,1,0,25,0,0,0,16384,4096,256,6400,left_and_right_bin_rgb_only,pevp_part_types_and_slot_map,pevp_same_observation_feedback_subset,none,0,0,replayed,f1bf96995bfd21bac4c7392ab99fde78708958f1c90296ff0d7d556b05c59d68,V_doremi,openai_compatible,gpt-5.2-2025-12-11,0,0,gpt-5p2-2025-12-11_dropped_part4_eps_0p0_seed_0,internal://competition_tutorials/experiment_results/faithful_baseline_runs/doremi_detector_v1_challenge30_20260802/attempts/dropped_part4/20260802_232509_340215/gpt-5p2-2025-12-11_dropped_part4_eps_0p0_seed_0,internal://competition_tutorials/experiment_results/faithful_baseline_runs/doremi_detector_v1_challenge30_20260802/selected_summaries/dropped_part4/summary.csv
dropped_part5,doremi,0.5,1,0,6,365,17,submitted,1,0,13,0,0,0,16384,4096,256,3328,left_and_right_bin_rgb_only,pevp_part_types_and_slot_map,pevp_same_observation_feedback_subset,none,0,0,replayed,b923a0ede178d9b624a8053b71a195f07db0bf806981342b9c7a6ad45944cc56,V_doremi,openai_compatible,gpt-5.2-2025-12-11,0,0,gpt-5p2-2025-12-11_dropped_part5_eps_0p0_seed_0,internal://competition_tutorials/experiment_results/faithful_baseline_runs/doremi_detector_v1_challenge30_20260802/attempts/dropped_part5/20260802_233430_340215/gpt-5p2-2025-12-11_dropped_part5_eps_0p0_seed_0,internal://competition_tutorials/experiment_results/faithful_baseline_runs/doremi_detector_v1_challenge30_20260802/selected_summaries/dropped_part5/summary.csv
dropped_part6,doremi,0.5,7,0,6,524,13,submitted,1,0,25,0,0,0,16384,4096,256,6400,left_and_right_bin_rgb_only,pevp_part_types_and_slot_map,pevp_same_observation_feedback_subset,none,0,0,replayed,cfae85ec9597ba5203eb9f810ddf84a8845d1ca6716685364d0809d9bc9858b4,V_doremi,openai_compatible,gpt-5.2-2025-12-11,0,0,gpt-5p2-2025-12-11_dropped_part6_eps_0p0_seed_0,internal://competition_tutorials/experiment_results/faithful_baseline_runs/doremi_detector_v1_challenge30_20260802/attempts/dropped_part6/20260802_234100_340215/gpt-5p2-2025-12-11_dropped_part6_eps_0p0_seed_0,internal://competition_tutorials/experiment_results/faithful_baseline_runs/doremi_detector_v1_challenge30_20260802/selected_summaries/dropped_part6/summary.csv
dropped_part7,doremi,0.5,1,0,7,418,9,submitted,1,0,16,0,0,0,16384,4096,256,4096,left_and_right_bin_rgb_only,pevp_part_types_and_slot_map,pevp_same_observation_feedback_subset,none,0,0,replayed,5ac99f1e21f5ddb394abdcd57d01a547238e62a7107cca1b3faf92446c659115,V_doremi,openai_compatible,gpt-5.2-2025-12-11,0,0,gpt-5p2-2025-12-11_dropped_part7_eps_0p0_seed_0,internal://competition_tutorials/experiment_results/faithful_baseline_runs/doremi_detector_v1_challenge30_20260802/attempts/dropped_part7/20260803_081723_880438/gpt-5p2-2025-12-11_dropped_part7_eps_0p0_seed_0,internal://competition_tutorials/experiment_results/faithful_baseline_runs/doremi_detector_v1_challenge30_20260802/selected_summaries/dropped_part7/summary.csv
dropped_part8,doremi,0.5,1,0,9,387,13,submitted,1,0,15,0,0,0,16384,4096,256,3840,left_and_right_bin_rgb_only,pevp_part_types_and_slot_map,pevp_same_observation_feedback_subset,none,0,0,replayed,6c40f5b9ab651312beb7d47752bf0992c816238ec5944cd2c877c8206e56db1f,V_doremi,openai_compatible,gpt-5.2-2025-12-11,0,0,gpt-5p2-2025-12-11_dropped_part8_eps_0p0_seed_0,internal://competition_tutorials/experiment_results/faithful_baseline_runs/doremi_detector_v1_challenge30_20260802/attempts/dropped_part8/20260802_235302_340215/gpt-5p2-2025-12-11_dropped_part8_eps_0p0_seed_0,internal://competition_tutorials/experiment_results/faithful_baseline_runs/doremi_detector_v1_challenge30_20260802/selected_summaries/dropped_part8/summary.csv
dropped_part9,doremi,0,0,0,11,917,34,timeout,0,0,28,0,0,0,16384,4096,256,7168,left_and_right_bin_rgb_only,pevp_part_types_and_slot_map,pevp_same_observation_feedback_subset,none,0,0,replayed,85c22c4a468d113c787562a901a68fd9bd1debbd950efdde34e2f80a571c1a9a,V_doremi,openai_compatible,gpt-5.2-2025-12-11,0,0,gpt-5p2-2025-12-11_dropped_part9_eps_0p0_seed_0,internal://competition_tutorials/experiment_results/faithful_baseline_runs/doremi_detector_v1_challenge30_20260802/attempts/dropped_part9/20260802_235954_340215/gpt-5p2-2025-12-11_dropped_part9_eps_0p0_seed_0,internal://competition_tutorials/experiment_results/faithful_baseline_runs/doremi_detector_v1_challenge30_20260802/selected_summaries/dropped_part9/summary.csv
