call_index,case_id,condition,expected_misaligned,prediction,correct,description_grounded,error,description,response,order_id,regime,mismatch_kind,color,part_type,part,semantic_multiplicity,observed_slot,planned_wrong_slot,last_action,latency_s,observation_left,observation_right,input_pddl
1,gate_06,positive,True,True,True,True,,"The plan expects a purple battery at bin1_9, but the bin1_9 cell is empty in the views, while a purple battery is clearly visible at bin1_5 instead.","{""misaligned"":true,""description"":""The plan expects a purple battery at bin1_9, but the bin1_9 cell is empty in the views, while a purple battery is clearly visible at bin1_5 instead.""}",priority1,other,within_bin,purple,battery,purple_battery_1,1,bin1_5,bin1_9,"move_floor(floor, floor_init, gripper_station1)",27.34315,internal://competition_tutorials/experiment_results/faithful_baseline_runs/formal_100_fixed_20260717_192541/v_doremi/gpt-5p2-2025-12-11_priority1_eps_0p0_seed_0/faithful_baseline_artifacts/observations/0001_doremi_detect_left.png,internal://competition_tutorials/experiment_results/faithful_baseline_runs/formal_100_fixed_20260717_192541/v_doremi/gpt-5p2-2025-12-11_priority1_eps_0p0_seed_0/faithful_baseline_artifacts/observations/0001_doremi_detect_right.png,internal://competition_tutorials/experiment_results/doremi_positive_control/gate_v2_heldout/inputs/gate_06_positive.pddl
2,gate_03,positive,True,True,True,True,,"The plan expects a green sensor at bin1_7, but the bin1_7 cell is visibly empty in the checklist crop, while a green sensor is clearly visible at bin6_3 in the active-bin mosaic.","{""misaligned"":true,""description"":""The plan expects a green sensor at bin1_7, but the bin1_7 cell is visibly empty in the checklist crop, while a green sensor is clearly visible at bin6_3 in the active-bin mosaic.""}",normal4,other,cross_bin,green,sensor,green_sensor_1,1,bin6_3,bin1_7,"move_floor(floor, floor_init, gripper_station1)",11.168091,internal://competition_tutorials/experiment_results/faithful_baseline_runs/formal_100_fixed_20260717_192541/v_doremi/gpt-5p2-2025-12-11_normal4_eps_0p0_seed_0/faithful_baseline_artifacts/observations/0001_doremi_detect_left.png,internal://competition_tutorials/experiment_results/faithful_baseline_runs/formal_100_fixed_20260717_192541/v_doremi/gpt-5p2-2025-12-11_normal4_eps_0p0_seed_0/faithful_baseline_artifacts/observations/0001_doremi_detect_right.png,internal://competition_tutorials/experiment_results/doremi_positive_control/gate_v2_heldout/inputs/gate_03_positive.pddl
3,gate_02,positive,True,True,True,True,,"The plan expects a blue regulator at bin1_7, but the bin1_7 cell is visibly empty in the checklist crop, while a blue regulator is clearly visible at bin1_2 in the active-bin mosaic.","{""misaligned"":true,""description"":""The plan expects a blue regulator at bin1_7, but the bin1_7 cell is visibly empty in the checklist crop, while a blue regulator is clearly visible at bin1_2 in the active-bin mosaic.""}",normal2,other,within_bin,blue,regulator,blue_regulator_1,1,bin1_2,bin1_7,"move_floor(floor, floor_init, gripper_station1)",13.385189,internal://competition_tutorials/experiment_results/faithful_baseline_runs/formal_100_fixed_20260717_192541/v_doremi/gpt-5p2-2025-12-11_normal2_eps_0p0_seed_0/faithful_baseline_artifacts/observations/0001_doremi_detect_left.png,internal://competition_tutorials/experiment_results/faithful_baseline_runs/formal_100_fixed_20260717_192541/v_doremi/gpt-5p2-2025-12-11_normal2_eps_0p0_seed_0/faithful_baseline_artifacts/observations/0001_doremi_detect_right.png,internal://competition_tutorials/experiment_results/doremi_positive_control/gate_v2_heldout/inputs/gate_02_positive.pddl
4,gate_10,negative,False,False,True,False,,,"{""misaligned"":false,""description"":""""}",priority8,other,within_bin,blue,sensor,blue_sensor_1,1,bin5_9,bin5_4,"move_floor(floor, floor_init, gripper_station1)",5.272274,internal://competition_tutorials/experiment_results/faithful_baseline_runs/formal_100_fixed_20260717_192541/v_doremi/gpt-5p2-2025-12-11_priority8_eps_0p0_seed_0/faithful_baseline_artifacts/observations/0001_doremi_detect_left.png,internal://competition_tutorials/experiment_results/faithful_baseline_runs/formal_100_fixed_20260717_192541/v_doremi/gpt-5p2-2025-12-11_priority8_eps_0p0_seed_0/faithful_baseline_artifacts/observations/0001_doremi_detect_right.png,internal://competition_tutorials/experiment_results/doremi_positive_control/gate_v2_heldout/inputs/gate_10_negative.pddl
5,gate_02,negative,False,False,True,False,,,"{""misaligned"":false,""description"":""""}",normal2,other,within_bin,blue,regulator,blue_regulator_1,1,bin1_2,bin1_7,"move_floor(floor, floor_init, gripper_station1)",4.593212,internal://competition_tutorials/experiment_results/faithful_baseline_runs/formal_100_fixed_20260717_192541/v_doremi/gpt-5p2-2025-12-11_normal2_eps_0p0_seed_0/faithful_baseline_artifacts/observations/0001_doremi_detect_left.png,internal://competition_tutorials/experiment_results/faithful_baseline_runs/formal_100_fixed_20260717_192541/v_doremi/gpt-5p2-2025-12-11_normal2_eps_0p0_seed_0/faithful_baseline_artifacts/observations/0001_doremi_detect_right.png,internal://competition_tutorials/experiment_results/doremi_positive_control/gate_v2_heldout/inputs/gate_02_negative.pddl
6,gate_05,negative,False,False,True,False,,,"{""misaligned"": false, ""description"": """"}",normal9,other,cross_bin,orange,pump,orange_pump_1,1,bin1_1,bin2_9,"move_floor(floor, floor_init, gripper_station1)",22.540355,internal://competition_tutorials/experiment_results/faithful_baseline_runs/formal_100_fixed_20260717_192541/v_doremi/gpt-5p2-2025-12-11_normal9_eps_0p0_seed_0/faithful_baseline_artifacts/observations/0001_doremi_detect_left.png,internal://competition_tutorials/experiment_results/faithful_baseline_runs/formal_100_fixed_20260717_192541/v_doremi/gpt-5p2-2025-12-11_normal9_eps_0p0_seed_0/faithful_baseline_artifacts/observations/0001_doremi_detect_right.png,internal://competition_tutorials/experiment_results/doremi_positive_control/gate_v2_heldout/inputs/gate_05_negative.pddl
7,gate_08,positive,True,True,True,True,,"The plan expects an orange battery at bin5_1, but bin5_1 is empty in the views; an orange battery is instead visible at bin5_8.","{""misaligned"":true,""description"":""The plan expects an orange battery at bin5_1, but bin5_1 is empty in the views; an orange battery is instead visible at bin5_8.""}",priority3,other,within_bin,orange,battery,orange_battery_1,1,bin5_8,bin5_1,"move_floor(floor, floor_init, gripper_station1)",6.283843,internal://competition_tutorials/experiment_results/faithful_baseline_runs/formal_100_fixed_20260717_192541/v_doremi/gpt-5p2-2025-12-11_priority3_eps_0p0_seed_0/faithful_baseline_artifacts/observations/0001_doremi_detect_left.png,internal://competition_tutorials/experiment_results/faithful_baseline_runs/formal_100_fixed_20260717_192541/v_doremi/gpt-5p2-2025-12-11_priority3_eps_0p0_seed_0/faithful_baseline_artifacts/observations/0001_doremi_detect_right.png,internal://competition_tutorials/experiment_results/doremi_positive_control/gate_v2_heldout/inputs/gate_08_positive.pddl
8,gate_07,positive,True,True,True,True,,"Plan expects an orange sensor at bin2_3, but the bin2_3 cell is visibly empty in the checklist crop and in the active-bin mosaic. The orange sensor is instead clearly visible at bin1_7, contradicting the planned location (observed bin1_7 vs planned bin2_3).","{""misaligned"":true,""description"":""Plan expects an orange sensor at bin2_3, but the bin2_3 cell is visibly empty in the checklist crop and in the active-bin mosaic. The orange sensor is instead clearly visible at bin1_7, contradicting the planned location (observed bin1_7 vs planned bin2_3).""}",priority2,other,cross_bin,orange,sensor,orange_sensor_1,1,bin1_7,bin2_3,"move_floor(floor, floor_init, gripper_station1)",10.365986,internal://competition_tutorials/experiment_results/faithful_baseline_runs/formal_100_fixed_20260717_192541/v_doremi/gpt-5p2-2025-12-11_priority2_eps_0p0_seed_0/faithful_baseline_artifacts/observations/0001_doremi_detect_left.png,internal://competition_tutorials/experiment_results/faithful_baseline_runs/formal_100_fixed_20260717_192541/v_doremi/gpt-5p2-2025-12-11_priority2_eps_0p0_seed_0/faithful_baseline_artifacts/observations/0001_doremi_detect_right.png,internal://competition_tutorials/experiment_results/doremi_positive_control/gate_v2_heldout/inputs/gate_07_positive.pddl
9,gate_01,positive,True,False,False,False,,,"{""misaligned"":false,""description"":""""}",normal1,other,cross_bin,purple,sensor,purple_sensor_1,1,bin1_2,bin2_7,"move_floor(floor, floor_init, gripper_station1)",7.664318,internal://competition_tutorials/experiment_results/faithful_baseline_runs/formal_100_fixed_20260717_192541/v_doremi/gpt-5p2-2025-12-11_normal1_eps_0p0_seed_0/faithful_baseline_artifacts/observations/0001_doremi_detect_left.png,internal://competition_tutorials/experiment_results/faithful_baseline_runs/formal_100_fixed_20260717_192541/v_doremi/gpt-5p2-2025-12-11_normal1_eps_0p0_seed_0/faithful_baseline_artifacts/observations/0001_doremi_detect_right.png,internal://competition_tutorials/experiment_results/doremi_positive_control/gate_v2_heldout/inputs/gate_01_positive.pddl
10,gate_06,negative,False,False,True,False,,,"{""misaligned"":false,""description"":""""}",priority1,other,within_bin,purple,battery,purple_battery_1,1,bin1_5,bin1_9,"move_floor(floor, floor_init, gripper_station1)",6.963886,internal://competition_tutorials/experiment_results/faithful_baseline_runs/formal_100_fixed_20260717_192541/v_doremi/gpt-5p2-2025-12-11_priority1_eps_0p0_seed_0/faithful_baseline_artifacts/observations/0001_doremi_detect_left.png,internal://competition_tutorials/experiment_results/faithful_baseline_runs/formal_100_fixed_20260717_192541/v_doremi/gpt-5p2-2025-12-11_priority1_eps_0p0_seed_0/faithful_baseline_artifacts/observations/0001_doremi_detect_right.png,internal://competition_tutorials/experiment_results/doremi_positive_control/gate_v2_heldout/inputs/gate_06_negative.pddl
